Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1787839803,4,,Aggregated,0.100000,0.000000,30000,32000,35000,35000,38000,41000,41000,41000,41000,41000,41000,15,0,30000,28294.303459999843,10705.326700001024,41352.64570000072,380.2
1787839804,4,,Aggregated,0.100000,0.000000,30000,32000,35000,35000,38000,41000,41000,41000,41000,41000,41000,15,0,30000,28294.303459999843,10705.326700001024,41352.64570000072,380.2
1787839805,4,,Aggregated,0.100000,0.000000,30000,32000,35000,35000,38000,41000,41000,41000,41000,41000,41000,15,0,30000,28294.303459999843,10705.326700001024,41352.64570000072,380.2
1787839807,4,,Aggregated,0.200000,0.000000,30000,32000,35000,35000,38000,41000,41000,41000,41000,41000,41000,16,0,27000,27773.5626062497,10705.326700001024,41352.64570000072,367.5625
1787839808,4,,Aggregated,0.200000,0.000000,30000,32000,35000,35000,38000,41000,41000,41000,41000,41000,41000,16,0,27000,27773.5626062497,10705.326700001024,41352.64570000072,367.5625
1787839809,4,,Aggregated,0.200000,0.000000,27000,32000,33000,35000,38000,41000,41000,41000,41000,41000,41000,17,0,27000,27357.43979411735,10705.326700001024,41352.64570000072,351.11764705882354
1787839810,4,,Aggregated,0.200000,0.000000,27000,32000,33000,35000,38000,41000,41000,41000,41000,41000,41000,17,0,27000,27357.43979411735,10705.326700001024,41352.64570000072,351.11764705882354
1787839811,4,,Aggregated,0.200000,0.000000,27000,32000,33000,35000,38000,41000,41000,41000,41000,41000,41000,17,0,27000,27357.43979411735,10705.326700001024,41352.64570000072,351.11764705882354
1787839812,4,,Aggregated,0.200000,0.000000,27000,32000,33000,35000,38000,41000,41000,41000,41000,41000,41000,17,0,27000,27357.43979411735,10705.326700001024,41352.64570000072,351.11764705882354
1787839813,4,,Aggregated,0.200000,0.000000,27000,32000,33000,35000,38000,41000,41000,41000,41000,41000,41000,17,0,27000,27357.43979411735,10705.326700001024,41352.64570000072,351.11764705882354
1787839814,4,,Aggregated,0.200000,0.000000,27000,32000,33000,35000,38000,41000,41000,41000,41000,41000,41000,17,0,27000,27357.43979411735,10705.326700001024,41352.64570000072,351.11764705882354
1787839815,4,,Aggregated,0.200000,0.000000,27000,32000,33000,35000,38000,41000,41000,41000,41000,41000,41000,17,0,27000,27357.43979411735,10705.326700001024,41352.64570000072,351.11764705882354
1787839816,4,,Aggregated,0.200000,0.000000,27000,32000,33000,35000,38000,41000,41000,41000,41000,41000,41000,17,0,27000,27357.43979411735,10705.326700001024,41352.64570000072,351.11764705882354
